CODE,NAME,REGION,BOUNDARYCHANGE,TYPE,SEATS,CON,LAB,LD,UKIP,GRN,OTH,TOTAL,Vacant_seats_23,Control_23
E07000036,Erewash,East Midlands,N,District,ALL,16,28,1,0,1,1,47,0,LAB
E07000041,Exeter,South West,N,District,THIRD,4,25,3,0,6,1,39,0,LAB
E07000010,Fenland,East of England,Y,District,ALL,35,0,2,0,0,6,43,0,CON
E07000112,Folkestone and Hythe,South East,N,District,ALL,5,10,2,0,11,2,30,0,NOC
E07000080,Forest of Dean,South West,N,District,ALL,4,5,3,0,15,11,38,0,NOC
E07000119,Fylde,North West,Y,District,ALL,19,2,2,0,0,14,37,0,CON
E08000037,Gateshead,North East,N,Met,THIRD,0,49,17,0,0,0,66,0,LAB
E07000173,Gedling,East Midlands,N,District,ALL,9,28,4,0,0,0,41,0,LAB
E07000109,Gravesham,South East,Y,District,ALL,17,22,0,0,0,0,39,0,LAB
E07000145,Great Yarmouth,East of England,N,District,ALL,19,18,0,0,0,2,39,0,NOC
E07000209,Guildford,South East,Y,District,ALL,10,3,25,0,0,10,48,0,LD
E06000006,Halton,North West,N,Unitary,THIRD,2,49,3,0,0,0,54,0,LAB
E07000131,Harborough,East Midlands,N,District,ALL,15,3,13,0,3,0,34,0,NOC
E07000073,Harlow,East of England,N,District,THIRD,21,12,0,0,0,0,33,0,CON
E07000089,Hart,South East,N,District,THIRD,11,0,11,0,0,11,33,0,NOC
E06000001,Hartlepool,North East,N,Unitary,THIRD,12,18,0,0,0,6,36,0,NOC
E07000090,Havant,South East,N,District,THIRD,30,4,2,0,1,1,38,0,CON
E06000019,Herefordshire,West Midlands,N,Unitary,ALL,21,1,12,0,9,10,53,0,NOC
E07000098,Hertsmere,East of England,N,District,ALL,16,14,9,0,0,0,39,0,NOC
E07000037,High Peak,East Midlands,N,District,ALL,10,29,1,0,2,1,43,0,LAB
E07000132,Hinckley and Bosworth,East Midlands,N,District,ALL,10,2,22,0,0,0,34,0,LD
E07000227,Horsham,South East,N,District,ALL,11,0,28,0,8,1,48,0,LD
E07000120,Hyndburn,North West,N,District,THIRD,16,16,0,0,2,1,35,0,NOC
E07000202,Ipswich,East of England,N,District,THIRD,10,33,3,0,0,2,48,0,LAB
